python-formencode,1.2.6-1ubuntu1
python-gdbm,2.7.5-1ubuntu1
python-glance,1:2014.1.2-0ubuntu1.1
python-glanceclient,1:0.12.0-0ubuntu1
python-greenlet,0.4.2-1build1
python-html5lib,0.999-2
python-httplib2,0.8-2build1
python-iso8601,0.1.10-0ubuntu1
python-itsdangerous,0.22+dfsg1-1build1
python-jinja2,2.7.2-2
python-json-patch,1.3-4
python-json-pointer,1.0-2build1
python-jsonpatch,1.3-4
python-jsonschema,2.3.0-1build1
python-keystone,1:2014.1.2.1-0ubuntu1.1
python-keystoneclient,1:0.7.1-ubuntu1
python-kombu,3.0.7-1ubuntu1
python-librabbitmq,1.0.3-0ubuntu1
python-lockfile,1:0.8-2ubuntu2
python-lxml,3.3.3-1ubuntu0.1
python-m2crypto,0.21.1-3ubuntu5
python-mako,0.9.1-1
python-markupsafe,0.18-1build2
python-migrate,0.8.2-3ubuntu1
python-minimal,2.7.5-5ubuntu3
python-mock,1.0.1-3
python-mysqldb,1.2.3-2ubuntu1
python-netaddr,0.7.10-1build1
python-networkx,1.8.1-0ubuntu3
python-neutronclient,1:2.3.4-0ubuntu1
python-nova,1:2014.1.3-0ubuntu2
python-novaclient,1:2.17.0-0ubuntu1
python-novnc,1:0.4+dfsg+1+20131010+gitf68af8af3d-2
python-numpy,1:1.8.1-1ubuntu1
python-oauthlib,0.6.1-1
python-openid,2.2.5-3ubuntu1
python-openssl,0.13-2ubuntu6
python-oslo.config,1:1.2.1-0ubuntu2
